#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_agis;Agis;;;;;;;;;;;;;x
c_agis_adj;Agissan;;;;;;;;;;;;;x
c_alamir_mountains;Alamir Mountains;;;;;;;;;;;;;x
c_alamir_mountains_adj;Alamir Mountainsian;;;;;;;;;;;;;x
c_almraiven;Almraiven;;;;;;;;;;;;;x
c_almraiven_adj;Almraivenian;;;;;;;;;;;;;x
c_arabel;Arabel;;;;;;;;;;;;;x
c_arabel_adj;Arabellan;;;;;;;;;;;;;x
c_archendale;Archendale;;;;;;;;;;;;;x
c_archendale_adj;Archendalen;;;;;;;;;;;;;x
c_barrets_quay;Barret’s Quay;;;;;;;;;;;;;x
c_barrets_quay_adj;Barret’s Quayan;;;;;;;;;;;;;x
c_battledale;Battledale;;;;;;;;;;;;;x
c_battledale_adj;Battledalen;;;;;;;;;;;;;x
c_black_mountains;Black Mountains;;;;;;;;;;;;;x
c_black_mountains_adj;Black Mountainer;;;;;;;;;;;;;x
c_caftenor;Caftenor;;;;;;;;;;;;;x
c_caftenor_adj;Caftenoran;;;;;;;;;;;;;x
c_calim_river;Calim River;;;;;;;;;;;;;x
c_calim_river_adj;Calim Riverian;;;;;;;;;;;;;x
c_calimport;Calimport;;;;;;;;;;;;;x
c_calimport_adj;Calimportian;;;;;;;;;;;;;x
c_cambro_mountains;Cambro Mountains;;;;;;;;;;;;;x
c_cambro_mountains_adj;Cambro Mountainer;;;;;;;;;;;;;x
c_canthrell;Canthrell;;;;;;;;;;;;;x
c_canthrell_adj;Canthrellian;;;;;;;;;;;;;x
c_codsbay;Codsbay;;;;;;;;;;;;;x
c_codsbay_adj;Codsbayan;;;;;;;;;;;;;x
c_cold_fields;Cold Fields;;;;;;;;;;;;;x
c_cold_fields_adj;Cold Fieldsian;;;;;;;;;;;;;x
c_cormyr;Cormyr;Cormyr;Cormyr;;Cormyr;;;;;;;;;x
c_cormyr_adj;Cormyrean;;;;;;;;;;;;;x
c_corwell;Corwell;;;;;;;;;;;;;x
c_corwell_adj;Corwellian;;;;;;;;;;;;;x
c_daerlun;Daerlun;;;;;;;;;;;;;x
c_daerlun_adj;Daerlunian;;;;;;;;;;;;;x
c_daggerdale;Daggerdale;;;;;;;;;;;;;x
c_daggerdale_adj;Daggerdalen;;;;;;;;;;;;;x
c_deepingdale;Deepingdale;;;;;;;;;;;;;x
c_deepingdale_adj;Deepingdalen;;;;;;;;;;;;;x
c_dennik;Dennik;;;;;;;;;;;;;x
c_dennik_adj;Dennikian;;;;;;;;;;;;;x
c_east_calim_desert;East Calim Desert;;;;;;;;;;;;;x
c_east_calim_desert_adj;East Calim Desertian;;;;;;;;;;;;;x
c_east_calimshan;East Calimshan;;;;;;;;;;;;;x
c_east_calimshan_adj;East Calishite;;;;;;;;;;;;;x
c_east_marching_mountains;East Marching Mountains;;;;;;;;;;;;;x
c_east_marching_mountains_adj;East Marching Mountainsian;;;;;;;;;;;;;x
c_east_oman;East Oman;;;;;;;;;;;;;x
c_east_oman_adj;East Omanian;;;;;;;;;;;;;x
c_eastern_marches;Eastern Marches;;;;;;;;;;;;;x
c_eastern_marches_adj;Eastern Marchian;;;;;;;;;;;;;x
c_eastern_stormhorns;Eastern Stormhorns;Eastern Stormhorns;Eastern Stormhorns;;Eastern Stormhorns;;;;;;;;;x
